Sektor,Kjonn,Alder,ForelopigEndelig,ContentsCode,Tid,value
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2016M11,2507618
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2017M11,2554497
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2018M11,2598460
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2019M11,2634800
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2020M11,2578524
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2021M11,2679304
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2022M11,2748258
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2023M11,2771001
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2024M11,2793293
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2016M11,2759464
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2017M11,2816206
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2018M11,2866227
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2019M11,2910346
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2020M11,2845589
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2021M11,2985927
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2022M11,3061205
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2023M11,3091379
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2024M11,3116859
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2016M11,35350
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2017M11,36450
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2018M11,37890
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2019M11,39220
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2020M11,40020
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2021M11,41820
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2022M11,43390
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2023M11,46190
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2024M11,48360
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2016M11,2545014
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2017M11,2585853
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2018M11,2633013
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2019M11,2669574
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2020M11,2625343
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2021M11,2713135
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2022M11,2784603
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2023M11,2807315
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2024M11,2824370
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2016M11,2797966
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2017M11,2847977
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2018M11,2903643
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2019M11,2947163
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2020M11,2896186
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2021M11,3022155
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2022M11,3101975
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2023M11,3133403
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2024M11,3152759
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2016M11,34980
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2017M11,36070
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2018M11,37490
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2019M11,38790
