Sektor,Kjonn,Alder,ForelopigEndelig,ContentsCode,Tid,value
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2016M08,2510401
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2017M08,2557898
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2018M08,2597556
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2019M08,2643959
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2020M08,2571645
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2021M08,2646851
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2022M08,2738265
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2023M08,2771041
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2024M08,2790981
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2016M08,2740318
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2017M08,2796864
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2018M08,2847138
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2019M08,2901898
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2020M08,2801299
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2021M08,2921825
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2022M08,3029296
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2023M08,3064634
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2024M08,3092541
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2016M08,33990
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2017M08,34830
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2018M08,35830
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2019M08,37370
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2020M08,38280
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2021M08,39440
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2022M08,40810
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2023M08,43410
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2024M08,45810
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2016M08,2565012
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2017M08,2608442
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2018M08,2651395
