Sektor,Kjonn,Alder,ForelopigEndelig,ContentsCode,Tid,value
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2016M12,2542856
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2017M12,2585019
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2018M12,2617760
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2019M12,2647713
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2020M12,2620501
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2021M12,2705288
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2022M12,2770422
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2023M12,2786092
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2024M12,2796422
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2016M12,2827267
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2017M12,2875916
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2018M12,2912117
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2019M12,2949736
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2020M12,2922619
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2021M12,3037840
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2022M12,3113449
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2023M12,3128803
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2024M12,3141504
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2016M12,37870
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2017M12,38440
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2018M12,39720
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2019M12,40800
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2020M12,42580
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2021M12,44100
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2022M12,46110
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2023M12,47800
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2024M12,49690
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2016M12,2565200
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2017M12,2611488
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2018M12,2655279
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2019M12,2683559
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2020M12,2645615
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2021M12,2735239
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2022M12,2804046
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2023M12,2823610
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2024M12,2832588
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2016M12,2848491
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2017M12,2901424
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2018M12,2953146
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2019M12,2996446
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2020M12,2946622
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2021M12,3070050
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2022M12,3150057
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2023M12,3173357
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2024M12,3182570
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2016M12,37650
