Sektor,Kjonn,Alder,ForelopigEndelig,ContentsCode,Tid,value
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2016M05,2480045
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2017M05,2513607
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2018M05,2551684
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2019M05,2603849
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2020M05,2525969
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2021M05,2556963
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2022M05,2703806
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2023M05,2744383
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall lønnstakere,2024M05,2764051
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2016M05,2720470
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2017M05,2760592
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2018M05,2811494
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2019M05,2867852
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2020M05,2747700
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2021M05,2803827
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2022M05,3002497
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2023M05,3049869
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Antall jobber (arbeidsforhold),2024M05,3074138
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2016M05,36770
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2017M05,37460
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2018M05,38510
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2019M05,39870
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2020M05,40850
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2021M05,43440
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2022M05,44060
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2023M05,46090
Sum alle sektorer,Begge kjønn,Alle aldre,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2024M05,48720
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2016M05,2511908
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2017M05,2545419
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2018M05,2588436
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2019M05,2638834
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2020M05,2564942
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2021M05,2592832
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2022M05,2737732
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2023M05,2777890
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall lønnstakere,2024M05,2798432
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2016M05,2753496
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2017M05,2792428
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2018M05,2847194
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2019M05,2904793
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2020M05,2781089
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2021M05,2842501
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2022M05,3037853
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2023M05,3085629
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Antall jobber (arbeidsforhold),2024M05,3113070
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2016M05,36390
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2017M05,37090
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2018M05,38120
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2019M05,39410
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2020M05,40360
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2021M05,42930
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2022M05,43660
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2023M05,45660
Sum alle sektorer,Begge kjønn,Alle aldre,Endelige tall,Gjennomsnittlig kontantlønn (kr),2024M05,48150
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall lønnstakere,2016M05,313614
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall lønnstakere,2017M05,316206
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall lønnstakere,2018M05,317521
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall lønnstakere,2019M05,323904
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall lønnstakere,2020M05,295275
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall lønnstakere,2021M05,305934
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall lønnstakere,2022M05,350406
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall lønnstakere,2023M05,359235
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall lønnstakere,2024M05,361197
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall jobber (arbeidsforhold),2016M05,360871
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall jobber (arbeidsforhold),2017M05,366574
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall jobber (arbeidsforhold),2018M05,370251
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall jobber (arbeidsforhold),2019M05,376504
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall jobber (arbeidsforhold),2020M05,334778
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall jobber (arbeidsforhold),2021M05,355131
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall jobber (arbeidsforhold),2022M05,417388
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall jobber (arbeidsforhold),2023M05,428293
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Antall jobber (arbeidsforhold),2024M05,432682
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2016M05,15360
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2017M05,15370
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2018M05,15820
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2019M05,16510
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2020M05,16920
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2021M05,17940
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2022M05,17270
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2023M05,17970
Sum alle sektorer,Begge kjønn,Under 25 år,Foreløpige tall,Gjennomsnittlig kontantlønn (kr),2024M05,19080
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall lønnstakere,2016M05,323671
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall lønnstakere,2017M05,326240
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall lønnstakere,2018M05,329825
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall lønnstakere,2019M05,336151
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall lønnstakere,2020M05,308067
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall lønnstakere,2021M05,316564
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall lønnstakere,2022M05,361825
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall lønnstakere,2023M05,370630
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall lønnstakere,2024M05,373946
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall jobber (arbeidsforhold),2016M05,371357
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall jobber (arbeidsforhold),2017M05,376544
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall jobber (arbeidsforhold),2018M05,382083
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall jobber (arbeidsforhold),2019M05,389531
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall jobber (arbeidsforhold),2020M05,347167
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall jobber (arbeidsforhold),2021M05,366577
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall jobber (arbeidsforhold),2022M05,429240
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall jobber (arbeidsforhold),2023M05,440496
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Antall jobber (arbeidsforhold),2024M05,447170
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Gjennomsnittlig kontantlønn (kr),2016M05,14960
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Gjennomsnittlig kontantlønn (kr),2017M05,15000
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Gjennomsnittlig kontantlønn (kr),2018M05,15400
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Gjennomsnittlig kontantlønn (kr),2019M05,16040
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Gjennomsnittlig kontantlønn (kr),2020M05,16330
Sum alle sektorer,Begge kjønn,Under 25 år,Endelige tall,Gjennomsnittlig kontantlønn (kr),2021M05,17430
